Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Age,Gender,Household Income,Region,Device Type
,,,,,,,,,Response,Response,Response,Response,Response,Udacity,Udemy,Coursera,Pluralsight,Lynda.com / LinkedIn Learning,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response
10717170597,233176325,05/08/2019 07:48:06 PM,05/08/2019 07:49:01 PM,,,,,b7371f0f2cd209c17c229bc592,1,9,5,8,6,1,,,,,6,7,2,3,2,28,5,3,2,1,3,3,1
10717159915,233176325,05/08/2019 07:41:36 PM,05/08/2019 07:43:39 PM,,,,,6d622bfab3c9ed0c510af8b9ad,1,1,1,1,1,,,,,5,10,1,1,6,4,54,5,3,4,2,4,5,1
10717148607,233176325,05/08/2019 07:35:16 PM,05/08/2019 07:37:16 PM,,,,,729fa2caeeab6a264fe20863c8,1,1,1,5,5,,,3,,5,10,7,1,7,2,29,7,5,3,2,6,2,2
10717146478,233176325,05/08/2019 07:34:58 PM,05/08/2019 07:35:55 PM,,,,,f0bfe10de2db753bde6ac04b5d,3,1,1,1,1,,,3,,,5,1,2,11,2,18,4,6,2,1,11,9,1
10717126128,233176325,05/08/2019 07:21:21 PM,05/08/2019 07:23:30 PM,,,,,c1aeab487c4c2628e51e2d1c6d,1,10,10,9,6,,,,,5,8,10,1,4,2,24,5,5,2,2,4,5,2
10717121773,233176325,05/08/2019 07:18:43 PM,05/08/2019 07:20:54 PM,,,,,5bfcd3dc9c6ca459cf4553e39e,2,10,8,7,6,1,,,,5,6,7,2,1,1,17,3,5,2,1,11,5,1
10717119472,233176325,05/08/2019 07:17:07 PM,05/08/2019 07:19:36 PM,,,,,c091e6943f54524dd1bc41c618,2,7,1,3,2,,,,,,2,8,2,6,4,49,7,6,4,1,5,2,1
10717114829,233176325,05/08/2019 07:16:12 PM,05/08/2019 07:16:58 PM,,,,,1acf39b746e0f31ef6c3d2495e,1,1,1,4,3,1,,,,,3,3,1,5,1,35,4,5,3,1,3,1,2
10717096087,233176325,05/08/2019 07:04:04 PM,05/08/2019 07:06:17 PM,,,,,1145e2b35f11bd37c1aa51c4b4,2,5,4,5,5,,,,,5,2,6,2,3,2,24,5,3,2,1,3,3,2
10717094268,233176325,05/08/2019 07:03:31 PM,05/08/2019 07:05:14 PM,,,,,4f7930402902301e4d66e52928,1,10,1,10,6,1,,3,,5,4,5,1,4,2,24,5,6,2,2,3,7,2
10717066341,233176325,05/08/2019 06:47:26 PM,05/08/2019 06:49:25 PM,,,,,9ff886bffb5f9c05649a0e8a61,3,6,5,10,9,,,,,,10,5,1,1,2,24,4,6,2,2,3,9,2
10717061144,233176325,05/08/2019 06:45:56 PM,05/08/2019 06:46:36 PM,,,,,7094028aea3ca4c2bc759eb2ed,1,5,5,8,4,,2,,,,7,4,2,6,3,37,4,3,3,1,11,9,1
10717044408,233176325,05/08/2019 06:35:15 PM,05/08/2019 06:37:26 PM,,,,,44a11316aed99711894e48cdfb,2,10,8,10,9,,,,,5,4,4,1,5,3,35,5,5,3,2,5,9,1
10717000949,233176325,05/08/2019 06:10:51 PM,05/08/2019 06:15:00 PM,,,,,e8db22829d5911d20f61462d78,1,2,3,3,3,,,,,5,5,8,1,3,4,52,3,4,4,2,3,2,1
10716996265,233176325,05/08/2019 06:09:50 PM,05/08/2019 06:12:38 PM,,,,,13ed6493ad9a454e78f0c121bc,2,8,6,3,1,,,,,,10,5,1,2,2,21,4,2,2,2,1,4,1
10716982565,233176325,05/08/2019 06:02:15 PM,05/08/2019 06:05:48 PM,,,,,4a4df4ee75e3830f630045020a,1,9,7,9,7,,2,3,4,5,6,8,1,6,2,29,7,2,3,2,5,9,1
