Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a"".",Age,Gender,Household Income,Region,Device Type
,,,,,,,,,,,,Response,Response,Response,Response,Response,Udacity,Udemy,Coursera,Pluralsight,Lynda.com / LinkedIn Learning,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response
11284458051,252761849,01/19/2020 08:24:31 AM,01/19/2020 08:33:39 AM,47.221.137.150,,,,,,,,2,10,10,5,5,,,,,,10,4,1,6,5,76,4,5,,,,,,
11283942145,252761849,01/18/2020 06:44:47 PM,01/18/2020 06:46:54 PM,97.94.131.8,,,,,,,,2,4,3,7,3,1,2,3,,,8,8,1,2,3,35,5,2,A2ZQCHONMAJZF,,,,,
11283912636,252761849,01/18/2020 06:05:57 PM,01/18/2020 06:06:27 PM,96.8.253.122,,,,,,,,2,5,7,6,8,,2,,,,10,8,2,5,2,19,5,2,A1SX8IVV82M0LW,,,,,
11283908888,252761849,01/18/2020 06:00:04 PM,01/18/2020 06:01:39 PM,108.53.56.59,,,,,,,,1,5,3,6,9,,2,3,,5,2,7,2,4,3,39,5,2,A1R5W4RQZTROD8,,,,,
11283890488,252761849,01/18/2020 05:36:37 PM,01/18/2020 05:38:09 PM,184.96.172.152,,,,,,,,1,10,8,8,10,1,2,,,,6,8,2,6,2,22,4,4,A11SMG7AJLZX0V,,,,,
11283888338,252761849,01/18/2020 05:32:39 PM,01/18/2020 05:35:27 PM,65.249.163.131,,,,,,,,1,8,7,7,8,,,,4,,1,5,1,2,2,53,6,5,A7CS3EY6JWY7A,,,,,
11283882688,252761849,01/18/2020 05:28:00 PM,01/18/2020 05:28:32 PM,98.182.132.130,,,,,,,,1,5,6,7,6,1,,,,5,8,7,2,5,4,50,5,5,AQOXSP4W3ITSW,,,,,
11283881964,252761849,01/18/2020 05:26:04 PM,01/18/2020 05:27:41 PM,98.182.132.130,,,,,,,,1,5,6,7,6,1,,,,5,8,7,2,5,4,50,5,5,AQOXSP4W3ITSW,,,,,
11283877204,252761849,01/18/2020 05:18:23 PM,01/18/2020 05:22:09 PM,98.122.142.152,,,,,,,,2,8,4,10,9,,2,3,,5,4,8,2,4,2,22,5,5,AD72VY8GLM8E2,,,,,
11283875602,252761849,01/18/2020 05:18:29 PM,01/18/2020 05:20:18 PM,96.36.47.33,,,,,,,,2,3,6,5,1,,,,,,10,5,2,2,3,35,3,5,A258MR1IS96JEP,,,,,
11283864675,252761849,01/18/2020 05:06:24 PM,01/18/2020 05:07:29 PM,68.7.221.24,,,,,,,,1,5,8,8,7,,,3,,5,6,2,2,4,3,33,5,5,A19H44LQJ0TEXF,,,,,
11283863003,252761849,01/18/2020 04:45:38 PM,01/18/2020 05:05:32 PM,76.185.183.214,,,,,,,,2,7,5,8,5,1,2,3,,,6,5,2,2,3,39,4,4,A3RYI5HXC2MJLN,,,,,
11283862590,252761849,01/18/2020 05:02:45 PM,01/18/2020 05:05:06 PM,73.7.108.229,,,,,,,,2,6,7,6,7,1,2,3,,5,6,7,2,5,2,20,5,2,A1EWA8X6KNU30M,,,,,
11283861198,252761849,01/18/2020 05:01:44 PM,01/18/2020 05:03:32 PM,69.180.87.203,,,,,,,,2,9,10,8,5,,2,3,,5,10,3,1,4,3,39,7,5,A3S3NLZV7A06QN,,,,,
11283860761,252761849,01/18/2020 05:01:54 PM,01/18/2020 05:03:00 PM,174.85.190.82,,,,,,,,2,8,9,8,8,,,3,,,11,8,1,2,2,25,4,5,A2UIGDOLX5RV95,,,,,
11283860663,252761849,01/18/2020 04:52:39 PM,01/18/2020 05:02:54 PM,174.216.7.79,,,,,,,,2,10,6,10,6,,2,,,5,10,10,1,3,5,62,5,5,ASP32QB28TEZU,,,,,
11283857710,252761849,01/18/2020 04:58:35 PM,01/18/2020 04:59:26 PM,184.98.49.101,,,,,,,,2,7,2,7,6,,2,,,,11,3,1,2,5,71,3,5,A35TWG9VW1MB5S,,,,,
